2023-11-08 12:08:27.237+01:00 |      rdp-1 | MainThread | line  69 |   DEBUG |                     aiviro.core.device.RDPDeviceV3 | click event on [1479, 967], box=<BoundBox BUTTON [1384, 945],[1575, 990] 'Pouze nezbytně nutné'/>, offset=[0, 0]
2023-11-08 12:08:27.238+01:00 |      rdp-1 | MainThread | line 138 |   DEBUG |                 aiviro.core.services.RunnerProcess | Calling command `force_wait_n_screens` of `ImageCollector`
2023-11-08 12:08:27.280+01:00 |      rdp-1 | MainThread | line  80 |   DEBUG |          aiviro.core.runner_service.ImageCollector | Forced wait for screens, 1 remaining
2023-11-08 12:08:28.841+01:00 |      rdp-1 | MainThread | line  57 |   DEBUG |          aiviro.core.runner_service.ImageCollector | Detected stable screen transition -- image in debug folder
2023-11-08 12:08:29.462+01:00 |      rdp-1 | MainThread | line 138 |   DEBUG |                 aiviro.core.services.RunnerProcess | Calling command `clear_element` of `RDPDeviceV3`
2023-11-08 12:08:29.462+01:00 |      rdp-1 | MainThread | line 145 |   DEBUG |                     aiviro.core.device.RDPDeviceV3 | clear-element on <BoundBox INPUT [896, 731],[1081, 760] 'Uživatelské jméno :'/>, pos=[988, 745]
2023-11-08 12:08:29.612+01:00 |      rdp-1 | MainThread | line 138 |   DEBUG |                 aiviro.core.services.RunnerProcess | Calling command `type_text` of `RDPDeviceV3`
2023-11-08 12:08:29.612+01:00 |      rdp-1 | MainThread | line 158 |   DEBUG |                     aiviro.core.device.RDPDeviceV3 | type-text on None
2023-11-08 12:08:29.892+01:00 |      rdp-1 | MainThread | line 138 |   DEBUG |                 aiviro.core.services.RunnerProcess | Calling command `force_wait_n_screens` of `ImageCollector`
2023-11-08 12:08:29.931+01:00 |      rdp-1 | MainThread | line  80 |   DEBUG |          aiviro.core.runner_service.ImageCollector | Forced wait for screens, 1 remaining
2023-11-08 12:08:30.488+01:00 |      rdp-1 | MainThread | line  57 |   DEBUG |          aiviro.core.runner_service.ImageCollector | Detected stable screen transition -- image in debug folder
2023-11-08 12:08:30.853+01:00 |      rdp-1 | MainThread | line 138 |   DEBUG |                 aiviro.core.services.RunnerProcess | Calling command `clear_element` of `RDPDeviceV3`
2023-11-08 12:08:30.853+01:00 |      rdp-1 | MainThread | line 145 |   DEBUG |                     aiviro.core.device.RDPDeviceV3 | clear-element on <BoundBox INPUT [896, 804],[1082, 832] 'Heslo :'/>, pos=[989, 818]
2023-11-08 12:08:31.009+01:00 |      rdp-1 | MainThread | line 138 |   DEBUG |                 aiviro.core.services.RunnerProcess | Calling command `type_text` of `RDPDeviceV3`
2023-11-08 12:08:31.009+01:00 |      rdp-1 | MainThread | line 158 |   DEBUG |                     aiviro.core.device.RDPDeviceV3 | type-text on None
2023-11-08 12:08:31.128+01:00 |      rdp-1 | MainThread | line 138 |   DEBUG |                 aiviro.core.services.RunnerProcess | Calling command `force_wait_n_screens` of `ImageCollector`
2023-11-08 12:08:31.170+01:00 |      rdp-1 | MainThread | line  80 |   DEBUG |          aiviro.core.runner_service.ImageCollector | Forced wait for screens, 1 remaining
2023-11-08 12:08:31.721+01:00 |      rdp-1 | MainThread | line  57 |   DEBUG |          aiviro.core.runner_service.ImageCollector | Detected stable screen transition -- image in debug folder
2023-11-08 12:08:32.052+01:00 |      rdp-1 | MainThread | line 138 |   DEBUG |                 aiviro.core.services.RunnerProcess | Calling command `click` of `RDPDeviceV3`
2023-11-08 12:08:32.052+01:00 |      rdp-1 | MainThread | line  69 |   DEBUG |                     aiviro.core.device.RDPDeviceV3 | click event on [937, 893], box=<BoundBox BUTTON [897, 878],[977, 908] 'Přihlásit'/>, offset=[0, 0]
2023-11-08 12:08:32.053+01:00 |      rdp-1 | MainThread | line 138 |   DEBUG |                 aiviro.core.services.RunnerProcess | Calling command `force_wait_n_screens` of `ImageCollector`
2023-11-08 12:08:32.097+01:00 |      rdp-1 | MainThread | line  80 |   DEBUG |          aiviro.core.runner_service.ImageCollector | Forced wait for screens, 1 remaining
2023-11-08 12:08:34.204+01:00 |      rdp-1 | MainThread | line  57 |   DEBUG |          aiviro.core.runner_service.ImageCollector | Detected stable screen transition -- image in debug folder
2023-11-08 12:08:39.719+01:00 |      rdp-1 | MainThread | line 138 |   DEBUG |                 aiviro.core.services.RunnerProcess | Calling command `click` of `RDPDeviceV3`
2023-11-08 12:08:39.719+01:00 |      rdp-1 | MainThread | line  69 |   DEBUG |                     aiviro.core.device.RDPDeviceV3 | click event on [701, 291], box=<BoundBox TEXT [655, 286],[748, 296] 'Vážení zákazníci ,'/>, offset=[0, 0]
2023-11-08 12:08:39.721+01:00 |      rdp-1 | MainThread | line 138 |   DEBUG |                 aiviro.core.services.RunnerProcess | Calling command `force_wait_n_screens` of `ImageCollector`
2023-11-08 12:08:39.763+01:00 |      rdp-1 | MainThread | line  80 |   DEBUG |          aiviro.core.runner_service.ImageCollector | Forced wait for screens, 1 remaining
2023-11-08 12:08:49.875+01:00 |      rdp-1 | MainThread | line 138 |   DEBUG |                 aiviro.core.services.RunnerProcess | Calling command `hot_key` of `RDPDeviceV3`
2023-11-08 12:08:50.285+01:00 |      rdp-1 | MainThread | line 218 |   DEBUG |                 aiviro.core.services.RunnerProcess | Stop event triggered - closing device
2023-11-08 12:08:50.300+01:00 |      rdp-1 | MainThread | line 220 |   DEBUG |                 aiviro.core.services.RunnerProcess | Closing finished
